Date,Description,Amount,Category
14 May,"14 May NEFT Inward 7,995.94 1,273,255.20",1273255.2,Bank Transfer
15 May,"15 May UPI Transfer Received 10,329.36 1,283,584.56",1283584.56,Bank Transfer
15 May,"15 May Grocery - BigBasket 17,157.42 1,266,427.14",1266427.14,Others
15 May,"15 May Freelance Payment 3,829.43 1,270,256.57",1270256.57,Others
16 May,"16 May EMI Debit 872.37 1,269,384.20",1269384.2,Others
17 May,"17 May Mobile Recharge 4,770.84 1,264,613.36",1264613.36,Utilities
17 May,"17 May Amazon Purchase 13,173.13 1,251,440.23",1251440.23,Shopping
17 May,"17 May Insurance Premium 16,829.77 1,234,610.46",1234610.46,Others
18 May,"18 May Mobile Recharge 12,637.55 1,221,972.91",1221972.91,Utilities
18 May,"18 May Swiggy Order 5,978.80 1,215,994.11",1215994.11,Food
18 May,"18 May Refund - Amazon 44,104.31 1,260,098.42",1260098.42,Shopping
19 May,"19 May Medical - Pharmacy 6,575.40 1,253,523.02",1253523.02,Others
19 May,"19 May Refund - Flipkart 23,504.43 1,277,027.45",1277027.45,Shopping
19 May,"19 May Fuel - HPCL 7,016.81 1,270,010.64",1270010.64,Travel
20 May,"20 May Hotel Booking 9,726.40 1,260,284.24",1260284.24,Others
21 May,"21 May EMI Debit 676.35 1,259,607.89",1259607.89,Others
21 May,"21 May Medical - Pharmacy 17,807.23 1,241,800.66",1241800.66,Others
21 May,"21 May Refund - Amazon 38,704.03 1,280,504.69",1280504.69,Shopping
22 May,"22 May Dividend Credit 40,547.01 1,321,051.70",1321051.7,Others
22 May,"22 May Refund - Amazon 45,662.25 1,366,713.95",1366713.95,Shopping
23 May,"23 May ATM Withdrawal 6,862.85 1,359,851.10",1359851.1,Others
23 May,"23 May Rental Income 20,785.67 1,380,636.77",1380636.77,Rent
23 May,"23 May Bill Payment - Water 10,766.66 1,369,870.11",1369870.11,Utilities
24 May,"24 May Insurance Claim 27,218.48 1,397,088.59",1397088.59,Others
24 May,"24 May Insurance Claim 19,269.81 1,416,358.40",1416358.4,Others
25 May,"25 May Bill Payment - Electricity 15,360.16 1,400,998.24",1400998.24,Utilities
25 May,"25 May Mobile Recharge 10,421.12 1,390,577.12",1390577.12,Utilities
26 May,"26 May Fuel - HPCL 16,779.17 1,373,797.95",1373797.95,Travel
27 May,"27 May Refund - Flipkart 8,489.51 1,382,287.46",1382287.46,Shopping
28 May,"28 May Interest Credit 27,871.08 1,410,158.54",1410158.54,Others
28 May,"28 May UPI Payment 817.89 1,409,340.65",1409340.65,Bank Transfer
30 May,"30 May Insurance Premium 941.47 1,408,399.18",1408399.18,Others
30 May,"30 May Insurance Claim 11,885.26 1,420,284.44",1420284.44,Others
30 May,"30 May UPI Transfer Received 13,986.68 1,434,271.12",1434271.12,Bank Transfer
31 May,"31 May EMI Debit 2,710.74 1,431,560.38",1431560.38,Others
31 May,"31 May Medical - Pharmacy 1,622.89 1,429,937.49",1429937.49,Others
31 May,"31 May Freelance Payment 37,261.27 1,467,198.76",1467198.76,Others
01 Jun,"01 Jun Dividend Credit 29,615.69 1,496,814.45",1496814.45,Others
02 Jun,"02 Jun Mutual Fund SIP 17,200.13 1,479,614.32",1479614.32,Others
03 Jun,"03 Jun EMI Debit 566.30 1,479,048.02",1479048.02,Others
03 Jun,"03 Jun Hotel Booking 2,083.62 1,476,964.40",1476964.4,Others
03 Jun,"03 Jun Interest Credit 21,761.96 1,498,726.36",1498726.36,Others
04 Jun,"04 Jun Swiggy Order 9,718.66 1,489,007.70",1489007.7,Food
04 Jun,"04 Jun Insurance Claim 49,661.12 1,538,668.82",1538668.82,Others
04 Jun,"04 Jun Freelance Payment 18,950.51 1,557,619.33",1557619.33,Others
06 Jun,"06 Jun Dividend Credit 48,771.93 1,606,391.26",1606391.26,Others
06 Jun,"06 Jun Hotel Booking 8,997.00 1,597,394.26",1597394.26,Others
06 Jun,"06 Jun Mutual Fund SIP 12,892.09 1,584,502.17",1584502.17,Others
07 Jun,"07 Jun Bill Payment - Water 19,518.77 1,564,983.40",1564983.4,Utilities
08 Jun,"08 Jun Rental Income 47,133.62 1,612,117.02",1612117.02,Rent
09 Jun,"09 Jun FD Maturity 20,458.16 1,632,575.18",1632575.18,Others
10 Jun,"10 Jun Dividend Credit 24,924.18 1,657,499.36",1657499.36,Others
11 Jun,"11 Jun ATM Withdrawal 16,703.04 1,640,796.32",1640796.32,Others
11 Jun,"11 Jun Dividend Credit 28,482.96 1,669,279.28",1669279.28,Others
13 Jun,"13 Jun Hotel Booking 15,125.25 1,654,154.03",1654154.03,Others
13 Jun,"13 Jun Swiggy Order 6,329.02 1,647,825.01",1647825.01,Food
14 Jun,"14 Jun Bill Payment - Electricity 9,711.63 1,638,113.38",1638113.38,Utilities
14 Jun,"14 Jun Bill Payment - Electricity 8,571.47 1,629,541.91",1629541.91,Utilities
15 Jun,"15 Jun Freelance Payment 1,174.41 1,630,716.32",1630716.32,Others
15 Jun,"15 Jun Flight Ticket - IndiGo 3,407.32 1,627,309.00",1627309.0,Others
15 Jun,"15 Jun Medical - Pharmacy 2,361.93 1,624,947.07",1624947.07,Others
16 Jun,"16 Jun FD Maturity 40,256.10 1,665,203.17",1665203.17,Others
16 Jun,"16 Jun Dividend Credit 43,773.64 1,708,976.81",1708976.81,Others
16 Jun,"16 Jun Dividend Credit 15,189.18 1,724,165.99",1724165.99,Others
17 Jun,"17 Jun EMI Debit 17,616.50 1,706,549.49",1706549.49,Others
17 Jun,"17 Jun Mobile Recharge 12,340.50 1,694,208.99",1694208.99,Utilities
18 Jun,"18 Jun Interest Credit 26,400.94 1,720,609.93",1720609.93,Others
19 Jun,"19 Jun Flight Ticket - IndiGo 5,099.66 1,715,510.27",1715510.27,Others
19 Jun,"19 Jun Insurance Claim 16,843.77 1,732,354.04",1732354.04,Others
20 Jun,"20 Jun FD Maturity 35,896.53 1,768,250.57",1768250.57,Others
22 Jun,"22 Jun UPI Transfer Received 7,942.28 1,776,192.85",1776192.85,Bank Transfer
22 Jun,"22 Jun Grocery - BigBasket 211.49 1,775,981.36",1775981.36,Others
23 Jun,"23 Jun Mutual Fund SIP 10,800.86 1,765,180.50",1765180.5,Others
26 Jun,"26 Jun Swiggy Order 1,428.76 1,763,751.74",1763751.74,Food
26 Jun,"26 Jun Interest Credit 1,199.41 1,764,951.15",1764951.15,Others
26 Jun,"26 Jun Dividend Credit 41,127.34 1,806,078.49",1806078.49,Others
27 Jun,"27 Jun Refund - Amazon 38,465.95 1,844,544.44",1844544.44,Shopping
27 Jun,"27 Jun Grocery - BigBasket 12,867.83 1,831,676.61",1831676.61,Others
29 Jun,"29 Jun NEFT Inward 11,213.85 1,842,890.46",1842890.46,Bank Transfer
30 Jun,"30 Jun Fuel - HPCL 2,621.41 1,840,269.05",1840269.05,Travel
30 Jun,"30 Jun Rental Income 38,712.94 1,878,981.99",1878981.99,Rent
01 Jul,"01 Jul Hotel Booking 14,771.58 1,864,210.41",1864210.41,Others
01 Jul,"01 Jul Interest Credit 632.20 1,864,842.61",1864842.61,Others
02 Jul,"02 Jul NEFT Inward 40,266.01 1,905,108.62",1905108.62,Bank Transfer
03 Jul,"03 Jul Refund - Flipkart 43,793.40 1,948,902.02",1948902.02,Shopping
06 Jul,"06 Jul Hotel Booking 8,849.81 1,940,052.21",1940052.21,Others
07 Jul,"07 Jul Interest Credit 38,120.37 1,978,172.58",1978172.58,Others
07 Jul,"07 Jul Fuel - HPCL 7,608.46 1,970,564.12",1970564.12,Travel
08 Jul,"08 Jul Refund - Flipkart 42,013.15 2,012,577.27",2012577.27,Shopping
08 Jul,"08 Jul Grocery - BigBasket 17,677.38 1,994,899.89",1994899.89,Others
08 Jul,"08 Jul EMI Debit 18,915.25 1,975,984.64",1975984.64,Others
09 Jul,"09 Jul Hotel Booking 11,253.67 1,964,730.97",1964730.97,Others
10 Jul,"10 Jul Medical - Pharmacy 11,202.31 1,953,528.66",1953528.66,Others
10 Jul,"10 Jul Mobile Recharge 3,642.45 1,949,886.21",1949886.21,Utilities
11 Jul,"11 Jul Medical - Pharmacy 6,985.23 1,942,900.98",1942900.98,Others
11 Jul,"11 Jul Interest Credit 28,209.80 1,971,110.78",1971110.78,Others
11 Jul,"11 Jul Insurance Claim 9,360.78 1,980,471.56",1980471.56,Others
13 Jul,"13 Jul Salary Credit 26,537.13 2,007,008.69",2007008.69,Income
14 Jul,"14 Jul Refund - Amazon 45,596.52 2,052,605.21",2052605.21,Shopping
14 Jul,"14 Jul EMI Debit 358.59 2,052,246.62",2052246.62,Others
16 Jul,"16 Jul EMI Debit 8,026.05 2,044,220.57",2044220.57,Others
16 Jul,"16 Jul Rental Income 3,332.74 2,047,553.31",2047553.31,Rent
18 Jul,"18 Jul Hotel Booking 12,681.58 2,034,871.73",2034871.73,Others
18 Jul,"18 Jul Bonus Credit 37,621.83 2,072,493.56",2072493.56,Others
18 Jul,"18 Jul ATM Withdrawal 16,167.87 2,056,325.69",2056325.69,Others
19 Jul,"19 Jul NEFT Inward 44,766.12 2,101,091.81",2101091.81,Bank Transfer
19 Jul,"19 Jul Netflix Subscription 3,620.46 2,097,471.35",2097471.35,Others
21 Jul,"21 Jul Flight Ticket - IndiGo 2,476.59 2,094,994.76",2094994.76,Others
21 Jul,"21 Jul Bill Payment - Water 1,340.28 2,093,654.48",2093654.48,Utilities
21 Jul,"21 Jul Grocery - BigBasket 5,621.82 2,088,032.66",2088032.66,Others
23 Jul,"23 Jul Mutual Fund SIP 16,979.78 2,071,052.88",2071052.88,Others
23 Jul,"23 Jul Mobile Recharge 3,467.35 2,067,585.53",2067585.53,Utilities
25 Jul,"25 Jul Salary Credit 33,552.26 2,101,137.79",2101137.79,Income
25 Jul,"25 Jul Freelance Payment 41,339.85 2,142,477.64",2142477.64,Others
25 Jul,"25 Jul NEFT Inward 13,698.48 2,156,176.12",2156176.12,Bank Transfer
26 Jul,"26 Jul Insurance Claim 30,622.19 2,186,798.31",2186798.31,Others
26 Jul,"26 Jul UPI Payment 3,542.07 2,183,256.24",2183256.24,Bank Transfer
26 Jul,"26 Jul UPI Transfer Received 28,247.69 2,211,503.93",2211503.93,Bank Transfer
27 Jul,"27 Jul Bill Payment - Electricity 16,738.50 2,194,765.43",2194765.43,Utilities
27 Jul,"27 Jul Bill Payment - Water 9,313.81 2,185,451.62",2185451.62,Utilities
29 Jul,"29 Jul UPI Payment 3,794.61 2,181,657.01",2181657.01,Bank Transfer
30 Jul,"30 Jul Mobile Recharge 4,428.76 2,177,228.25",2177228.25,Utilities
31 Jul,"31 Jul Interest Credit 36,351.70 2,213,579.95",2213579.95,Others
31 Jul,"31 Jul Interest Credit 34,204.08 2,247,784.03",2247784.03,Others
31 Jul,"31 Jul Insurance Premium 14,788.40 2,232,995.63",2232995.63,Others
02 Aug,"02 Aug Netflix Subscription 3,642.28 2,229,353.35",2229353.35,Others
02 Aug,"02 Aug Grocery - BigBasket 8,338.26 2,221,015.09",2221015.09,Others
02 Aug,"02 Aug Refund - Amazon 10,361.62 2,231,376.71",2231376.71,Shopping
03 Aug,"03 Aug Hotel Booking 5,364.45 2,226,012.26",2226012.26,Others
03 Aug,"03 Aug Bonus Credit 18,498.85 2,244,511.11",2244511.11,Others
04 Aug,"04 Aug Amazon Purchase 13,772.09 2,230,739.02",2230739.02,Shopping
04 Aug,"04 Aug Dividend Credit 41,818.85 2,272,557.87",2272557.87,Others
04 Aug,"04 Aug Insurance Claim 28,651.21 2,301,209.08",2301209.08,Others
05 Aug,"05 Aug Refund - Amazon 40,639.96 2,341,849.04",2341849.04,Shopping
05 Aug,"05 Aug Freelance Payment 35,132.86 2,376,981.90",2376981.9,Others
05 Aug,"05 Aug EMI Debit 14,888.32 2,362,093.58",2362093.58,Others
07 Aug,"07 Aug Salary Credit 23,650.57 2,385,744.15",2385744.15,Income
09 Aug,"09 Aug Mutual Fund SIP 9,398.21 2,376,345.94",2376345.94,Others
10 Aug,"10 Aug ATM Withdrawal 13,200.27 2,363,145.67",2363145.67,Others
10 Aug,"10 Aug Refund - Flipkart 5,678.34 2,368,824.01",2368824.01,Shopping
12 Aug,"12 Aug Bonus Credit 17,068.27 2,385,892.28",2385892.28,Others
14 Aug,"14 Aug Flight Ticket - IndiGo 6,194.89 2,379,697.39",2379697.39,Others
15 Aug,"15 Aug Flight Ticket - IndiGo 8,836.27 2,370,861.12",2370861.12,Others
16 Aug,"16 Aug Swiggy Order 9,524.08 2,361,337.04",2361337.04,Food
16 Aug,"16 Aug Refund - Flipkart 18,974.13 2,380,311.17",2380311.17,Shopping
16 Aug,"16 Aug ATM Withdrawal 8,082.95 2,372,228.22",2372228.22,Others
17 Aug,"17 Aug Bill Payment - Water 18,027.22 2,354,201.00",2354201.0,Utilities
18 Aug,"18 Aug Rental Income 13,833.37 2,368,034.37",2368034.37,Rent
18 Aug,"18 Aug Freelance Payment 1,913.48 2,369,947.85",2369947.85,Others
18 Aug,"18 Aug Rental Income 15,378.85 2,385,326.70",2385326.7,Rent
19 Aug,"19 Aug Netflix Subscription 11,402.97 2,373,923.73",2373923.73,Others
20 Aug,"20 Aug ATM Withdrawal 15,792.53 2,358,131.20",2358131.2,Others
22 Aug,"22 Aug Mobile Recharge 2,915.07 2,355,216.13",2355216.13,Utilities
22 Aug,"22 Aug UPI Payment 3,390.31 2,351,825.82",2351825.82,Bank Transfer
23 Aug,"23 Aug Refund - Amazon 9,017.39 2,360,843.21",2360843.21,Shopping
25 Aug,"25 Aug UPI Transfer Received 10,564.44 2,371,407.65",2371407.65,Bank Transfer
26 Aug,"26 Aug Refund - Flipkart 27,989.74 2,399,397.39",2399397.39,Shopping
28 Aug,"28 Aug Freelance Payment 5,445.72 2,404,843.11",2404843.11,Others
28 Aug,"28 Aug Hotel Booking 14,005.72 2,390,837.39",2390837.39,Others
28 Aug,"28 Aug Swiggy Order 16,643.81 2,374,193.58",2374193.58,Food
30 Aug,"30 Aug NEFT Inward 38,270.69 2,412,464.27",2412464.27,Bank Transfer
30 Aug,"30 Aug Refund - Amazon 16,692.04 2,429,156.31",2429156.31,Shopping
30 Aug,"30 Aug Medical - Pharmacy 14,634.40 2,414,521.91",2414521.91,Others
31 Aug,"31 Aug UPI Payment 7,002.66 2,407,519.25",2407519.25,Bank Transfer
31 Aug,"31 Aug Interest Credit 30,621.86 2,438,141.11",2438141.11,Others
31 Aug,"31 Aug Salary Credit 17,322.62 2,455,463.73",2455463.73,Income
01 Sep,"01 Sep Netflix Subscription 12,946.99 2,442,516.74",2442516.74,Others
01 Sep,"01 Sep Insurance Premium 980.53 2,441,536.21",2441536.21,Others
01 Sep,"01 Sep Bonus Credit 17,309.54 2,458,845.75",2458845.75,Others
02 Sep,"02 Sep Dividend Credit 14,605.72 2,473,451.47",2473451.47,Others
03 Sep,"03 Sep Dividend Credit 47,946.38 2,521,397.85",2521397.85,Others
03 Sep,"03 Sep Freelance Payment 20,211.70 2,541,609.55",2541609.55,Others
03 Sep,"03 Sep Bill Payment - Electricity 9,351.96 2,532,257.59",2532257.59,Utilities
04 Sep,"04 Sep Fuel - HPCL 2,117.96 2,530,139.63",2530139.63,Travel
04 Sep,"04 Sep Mutual Fund SIP 343.27 2,529,796.36",2529796.36,Others
05 Sep,"05 Sep Flight Ticket - IndiGo 7,741.41 2,522,054.95",2522054.95,Others
07 Sep,"07 Sep Medical - Pharmacy 13,436.88 2,508,618.07",2508618.07,Others
07 Sep,"07 Sep EMI Debit 6,128.79 2,502,489.28",2502489.28,Others
07 Sep,"07 Sep Flight Ticket - IndiGo 2,407.57 2,500,081.71",2500081.71,Others
08 Sep,"08 Sep Mobile Recharge 14,269.27 2,485,812.44",2485812.44,Utilities
08 Sep,"08 Sep Dividend Credit 9,352.56 2,495,165.00",2495165.0,Others
09 Sep,"09 Sep UPI Payment 1,692.18 2,493,472.82",2493472.82,Bank Transfer
09 Sep,"09 Sep Rental Income 46,741.77 2,540,214.59",2540214.59,Rent
09 Sep,"09 Sep Rental Income 25,987.37 2,566,201.96",2566201.96,Rent
10 Sep,"10 Sep Salary Credit 23,505.78 2,589,707.74",2589707.74,Income
10 Sep,"10 Sep Refund - Flipkart 24,736.26 2,614,444.00",2614444.0,Shopping
10 Sep,"10 Sep Refund - Flipkart 30,166.75 2,644,610.75",2644610.75,Shopping
11 Sep,"11 Sep Salary Credit 33,912.32 2,678,523.07",2678523.07,Income
11 Sep,"11 Sep Mobile Recharge 3,656.69 2,674,866.38",2674866.38,Utilities
12 Sep,"12 Sep Bonus Credit 16,569.31 2,691,435.69",2691435.69,Others
12 Sep,"12 Sep Insurance Claim 6,028.32 2,697,464.01",2697464.01,Others
12 Sep,"12 Sep Interest Credit 37,064.68 2,734,528.69",2734528.69,Others
13 Sep,"13 Sep Insurance Claim 5,181.34 2,739,710.03",2739710.03,Others
14 Sep,"14 Sep EMI Debit 8,678.90 2,731,031.13",2731031.13,Others
15 Sep,"15 Sep Swiggy Order 13,810.94 2,717,220.19",2717220.19,Food
15 Sep,"15 Sep Flight Ticket - IndiGo 18,081.25 2,699,138.94",2699138.94,Others
18 Sep,"18 Sep Insurance Claim 7,764.15 2,706,903.09",2706903.09,Others
18 Sep,"18 Sep Fuel - HPCL 17,652.53 2,689,250.56",2689250.56,Travel
20 Sep,"20 Sep Medical - Pharmacy 15,010.41 2,674,240.15",2674240.15,Others
20 Sep,"20 Sep Insurance Claim 9,604.55 2,683,844.70",2683844.7,Others
21 Sep,"21 Sep Bill Payment - Electricity 14,879.43 2,668,965.27",2668965.27,Utilities
21 Sep,"21 Sep Bill Payment - Water 8,725.36 2,660,239.91",2660239.91,Utilities
22 Sep,"22 Sep Swiggy Order 19,898.88 2,640,341.03",2640341.03,Food
24 Sep,"24 Sep Medical - Pharmacy 4,382.66 2,635,958.37",2635958.37,Others
24 Sep,"24 Sep NEFT Inward 34,598.73 2,670,557.10",2670557.1,Bank Transfer
25 Sep,"25 Sep Fuel - HPCL 1,010.27 2,669,546.83",2669546.83,Travel
25 Sep,"25 Sep EMI Debit 13,596.34 2,655,950.49",2655950.49,Others
27 Sep,"27 Sep Bonus Credit 39,211.50 2,695,161.99",2695161.99,Others
27 Sep,"27 Sep Rental Income 13,719.14 2,708,881.13",2708881.13,Rent
27 Sep,"27 Sep Bill Payment - Water 12,733.65 2,696,147.48",2696147.48,Utilities
28 Sep,"28 Sep Interest Credit 35,595.92 2,731,743.40",2731743.4,Others
30 Sep,"30 Sep Flight Ticket - IndiGo 12,225.39 2,719,518.01",2719518.01,Others
30 Sep,"30 Sep Mutual Fund SIP 12,731.98 2,706,786.03",2706786.03,Others
01 Oct,"01 Oct Mutual Fund SIP 11,197.38 2,695,588.65",2695588.65,Others
01 Oct,"01 Oct FD Maturity 17,645.13 2,713,233.78",2713233.78,Others
01 Oct,"01 Oct FD Maturity 42,790.62 2,756,024.40",2756024.4,Others
02 Oct,"02 Oct Fuel - HPCL 3,483.27 2,752,541.13",2752541.13,Travel
03 Oct,"03 Oct Rental Income 33,204.58 2,785,745.71",2785745.71,Rent
03 Oct,"03 Oct Mobile Recharge 12,664.54 2,773,081.17",2773081.17,Utilities
05 Oct,"05 Oct Insurance Premium 10,638.88 2,762,442.29",2762442.29,Others
06 Oct,"06 Oct Flight Ticket - IndiGo 9,084.83 2,753,357.46",2753357.46,Others
06 Oct,"06 Oct NEFT Inward 31,430.70 2,784,788.16",2784788.16,Bank Transfer
07 Oct,"07 Oct UPI Payment 8,366.32 2,776,421.84",2776421.84,Bank Transfer
07 Oct,"07 Oct Hotel Booking 5,749.36 2,770,672.48",2770672.48,Others
08 Oct,"08 Oct Dividend Credit 27,110.84 2,797,783.32",2797783.32,Others
11 Oct,"11 Oct Rental Income 49,610.48 2,847,393.80",2847393.8,Rent
11 Oct,"11 Oct Insurance Claim 43,312.22 2,890,706.02",2890706.02,Others
11 Oct,"11 Oct Mobile Recharge 11,046.40 2,879,659.62",2879659.62,Utilities
12 Oct,"12 Oct Refund - Flipkart 30,162.80 2,909,822.42",2909822.42,Shopping
13 Oct,"13 Oct Mutual Fund SIP 13,318.27 2,896,504.15",2896504.15,Others
13 Oct,"13 Oct Swiggy Order 10,696.92 2,885,807.23",2885807.23,Food
14 Oct,"14 Oct Flight Ticket - IndiGo 9,331.89 2,876,475.34",2876475.34,Others
14 Oct,"14 Oct Dividend Credit 43,730.42 2,920,205.76",2920205.76,Others
14 Oct,"14 Oct Refund - Flipkart 26,866.95 2,947,072.71",2947072.71,Shopping
15 Oct,"15 Oct Bill Payment - Water 13,698.70 2,933,374.01",2933374.01,Utilities
15 Oct,"15 Oct Dividend Credit 32,828.66 2,966,202.67",2966202.67,Others
15 Oct,"15 Oct Rental Income 32,002.64 2,998,205.31",2998205.31,Rent
16 Oct,"16 Oct UPI Transfer Received 31,186.05 3,029,391.36",3029391.36,Bank Transfer
17 Oct,"17 Oct Swiggy Order 6,567.90 3,022,823.46",3022823.46,Food
17 Oct,"17 Oct Bonus Credit 31,462.01 3,054,285.47",3054285.47,Others
17 Oct,"17 Oct Insurance Claim 18,829.65 3,073,115.12",3073115.12,Others
18 Oct,"18 Oct Amazon Purchase 17,282.42 3,055,832.70",3055832.7,Shopping
18 Oct,"18 Oct Swiggy Order 14,488.90 3,041,343.80",3041343.8,Food
18 Oct,"18 Oct Interest Credit 46,888.47 3,088,232.27",3088232.27,Others
19 Oct,"19 Oct Salary Credit 3,708.23 3,091,940.50",3091940.5,Income
19 Oct,"19 Oct Interest Credit 23,328.39 3,115,268.89",3115268.89,Others
20 Oct,"20 Oct Flight Ticket - IndiGo 15,955.40 3,099,313.49",3099313.49,Others
20 Oct,"20 Oct Mutual Fund SIP 2,312.03 3,097,001.46",3097001.46,Others
20 Oct,"20 Oct Swiggy Order 18,186.68 3,078,814.78",3078814.78,Food
21 Oct,"21 Oct ATM Withdrawal 1,489.86 3,077,324.92",3077324.92,Others
21 Oct,"21 Oct Hotel Booking 8,186.30 3,069,138.62",3069138.62,Others
21 Oct,"21 Oct Medical - Pharmacy 1,500.28 3,067,638.34",3067638.34,Others
22 Oct,"22 Oct UPI Payment 10,793.09 3,056,845.25",3056845.25,Bank Transfer
22 Oct,"22 Oct Salary Credit 41,473.81 3,098,319.06",3098319.06,Income
23 Oct,"23 Oct ATM Withdrawal 16,583.32 3,081,735.74",3081735.74,Others
23 Oct,"23 Oct Freelance Payment 35,972.92 3,117,708.66",3117708.66,Others
24 Oct,"24 Oct NEFT Inward 6,640.81 3,124,349.47",3124349.47,Bank Transfer
24 Oct,"24 Oct Bill Payment - Water 15,183.01 3,109,166.46",3109166.46,Utilities
24 Oct,"24 Oct Mutual Fund SIP 7,392.64 3,101,773.82",3101773.82,Others
25 Oct,"25 Oct Grocery - BigBasket 15,931.51 3,085,842.31",3085842.31,Others
26 Oct,"26 Oct UPI Transfer Received 32,280.76 3,118,123.07",3118123.07,Bank Transfer
26 Oct,"26 Oct Swiggy Order 14,210.75 3,103,912.32",3103912.32,Food
27 Oct,"27 Oct Refund - Flipkart 34,615.11 3,138,527.43",3138527.43,Shopping
27 Oct,"27 Oct EMI Debit 14,021.28 3,124,506.15",3124506.15,Others
29 Oct,"29 Oct Interest Credit 14,777.31 3,139,283.46",3139283.46,Others
30 Oct,"30 Oct Insurance Premium 14,304.68 3,124,978.78",3124978.78,Others
30 Oct,"30 Oct Insurance Premium 3,250.22 3,121,728.56",3121728.56,Others
31 Oct,"31 Oct Netflix Subscription 13,498.25 3,108,230.31",3108230.31,Others
31 Oct,"31 Oct Netflix Subscription 13,932.14 3,094,298.17",3094298.17,Others
31 Oct,"31 Oct EMI Debit 17,197.04 3,077,101.13",3077101.13,Others
01 Nov,"01 Nov Refund - Amazon 10,977.27 3,088,078.40",3088078.4,Shopping
02 Nov,"02 Nov Fuel - HPCL 5,262.48 3,082,815.92",3082815.92,Travel
03 Nov,"03 Nov Mobile Recharge 3,491.16 3,079,324.76",3079324.76,Utilities
03 Nov,"03 Nov Mutual Fund SIP 11,783.99 3,067,540.77",3067540.77,Others
03 Nov,"03 Nov Hotel Booking 7,621.78 3,059,918.99",3059918.99,Others
04 Nov,"04 Nov Hotel Booking 9,692.84 3,050,226.15",3050226.15,Others
05 Nov,"05 Nov Refund - Flipkart 47,373.94 3,097,600.09",3097600.09,Shopping
05 Nov,"05 Nov NEFT Inward 10,718.25 3,108,318.34",3108318.34,Bank Transfer
05 Nov,"05 Nov UPI Transfer Received 39,011.71 3,147,330.05",3147330.05,Bank Transfer
06 Nov,"06 Nov Bonus Credit 23,236.42 3,170,566.47",3170566.47,Others
08 Nov,"08 Nov ATM Withdrawal 7,334.85 3,163,231.62",3163231.62,Others
09 Nov,"09 Nov Bill Payment - Electricity 19,045.36 3,144,186.26",3144186.26,Utilities
09 Nov,"09 Nov Insurance Claim 48,101.98 3,192,288.24",3192288.24,Others
09 Nov,"09 Nov ATM Withdrawal 1,681.00 3,190,607.24",3190607.24,Others
10 Nov,"10 Nov EMI Debit 5,034.64 3,185,572.60",3185572.6,Others
10 Nov,"10 Nov Swiggy Order 3,735.42 3,181,837.18",3181837.18,Food
10 Nov,"10 Nov NEFT Inward 36,010.33 3,217,847.51",3217847.51,Bank Transfer
12 Nov,"12 Nov Grocery - BigBasket 1,918.05 3,215,929.46",3215929.46,Others
12 Nov,"12 Nov Netflix Subscription 18,357.59 3,197,571.87",3197571.87,Others
13 Nov,"13 Nov Rental Income 11,765.52 3,209,337.39",3209337.39,Rent
13 Nov,"13 Nov Bill Payment - Water 9,597.92 3,199,739.47",3199739.47,Utilities
15 Nov,"15 Nov Hotel Booking 1,553.79 3,198,185.68",3198185.68,Others
15 Nov,"15 Nov Interest Credit 4,627.62 3,202,813.30",3202813.3,Others
17 Nov,"17 Nov UPI Payment 6,069.22 3,196,744.08",3196744.08,Bank Transfer
18 Nov,"18 Nov Flight Ticket - IndiGo 2,319.33 3,194,424.75",3194424.75,Others
18 Nov,"18 Nov Flight Ticket - IndiGo 3,976.50 3,190,448.25",3190448.25,Others
18 Nov,"18 Nov Medical - Pharmacy 5,109.78 3,185,338.47",3185338.47,Others
19 Nov,"19 Nov Hotel Booking 3,612.98 3,181,725.49",3181725.49,Others
19 Nov,"19 Nov Insurance Premium 19,033.57 3,162,691.92",3162691.92,Others
20 Nov,"20 Nov EMI Debit 5,055.54 3,157,636.38",3157636.38,Others
20 Nov,"20 Nov Flight Ticket - IndiGo 10,110.94 3,147,525.44",3147525.44,Others
22 Nov,"22 Nov Hotel Booking 6,452.23 3,141,073.21",3141073.21,Others
23 Nov,"23 Nov Dividend Credit 3,745.19 3,144,818.40",3144818.4,Others
23 Nov,"23 Nov Flight Ticket - IndiGo 1,981.90 3,142,836.50",3142836.5,Others
23 Nov,"23 Nov NEFT Inward 34,504.47 3,177,340.97",3177340.97,Bank Transfer
24 Nov,"24 Nov Grocery - BigBasket 15,280.77 3,162,060.20",3162060.2,Others
25 Nov,"25 Nov Hotel Booking 6,468.32 3,155,591.88",3155591.88,Others
25 Nov,"25 Nov Rental Income 15,353.04 3,170,944.92",3170944.92,Rent
26 Nov,"26 Nov Amazon Purchase 3,176.49 3,167,768.43",3167768.43,Shopping
27 Nov,"27 Nov Amazon Purchase 15,737.64 3,152,030.79",3152030.79,Shopping
28 Nov,"28 Nov FD Maturity 26,065.08 3,178,095.87",3178095.87,Others
29 Nov,"29 Nov EMI Debit 5,460.73 3,172,635.14",3172635.14,Others
29 Nov,"29 Nov Insurance Premium 17,139.13 3,155,496.01",3155496.01,Others
29 Nov,"29 Nov Insurance Claim 15,658.50 3,171,154.51",3171154.51,Others
30 Nov,"30 Nov Insurance Premium 6,375.40 3,164,779.11",3164779.11,Others
30 Nov,"30 Nov Dividend Credit 19,980.34 3,184,759.45",3184759.45,Others
